F	D
68.359375	-25.217355
78.125000	-24.918046
87.890625	-25.253567
97.656250	-25.796423
107.421875	-25.840793
117.187500	-24.731037
126.953125	-24.943369
136.718750	-25.436425
146.484375	-25.668946
156.250000	-28.529356
166.015625	-26.663347
175.781250	-26.634779
185.546875	-27.203389
195.312500	-26.027539
205.078125	-25.476641
214.843750	-25.575182
224.609375	-26.393023
234.375000	-26.265218
244.140625	-26.269638
253.906250	-27.099940
263.671875	-27.608835
273.437500	-28.312834
283.203125	-28.429204
292.968750	-28.832198
302.734375	-28.063827
312.500000	-27.758937
322.265625	-28.696861
332.031250	-28.284109
341.796875	-28.635062
351.562500	-28.614526
361.328125	-28.801360
371.093750	-29.775766
380.859375	-29.022897
390.625000	-29.018704
400.390625	-29.656782
410.156250	-32.053948
419.921875	-30.815635
429.687500	-29.604084
439.453125	-30.242104
449.218750	-30.229509
458.984375	-29.910550
468.750000	-29.924438
478.515625	-29.898810
488.281250	-30.142293
498.046875	-30.668009
507.812500	-30.533762
517.578125	-29.975392
527.343750	-29.655837
537.109375	-30.491168
546.875000	-30.314386
556.640625	-32.256859
566.406250	-30.645757
576.171875	-30.134218
585.937500	-32.241179
595.703125	-31.341829
605.468750	-34.486903
615.234375	-30.354447
625.000000	-30.068448
634.765625	-30.510864
644.531250	-30.854620
654.296875	-30.823374
664.062500	-30.887512
673.828125	-31.414898
683.593750	-31.005082
693.359375	-32.157060
703.125000	-30.341752
712.890625	-30.421425
722.656250	-31.665667
732.421875	-32.831041
742.187500	-31.857610
751.953125	-31.644227
761.718750	-32.162002
771.484375	-32.716984
781.250000	-31.789710
791.015625	-32.178782
800.781250	-32.617961
810.546875	-32.411193
820.312500	-31.190308
830.078125	-32.280103
839.843750	-32.396497
849.609375	-32.890766
859.375000	-32.600820
869.140625	-32.623598
878.906250	-32.990111
888.671875	-33.841093
898.437500	-32.877489
908.203125	-32.598237
917.968750	-32.757592
927.734375	-32.298913
937.500000	-31.651628
947.265625	-31.753002
957.031250	-32.628456
966.796875	-33.358195
976.562500	-33.086802
986.328125	-34.208564
996.093750	-33.218265
1005.859375	-33.518571
1015.625000	-32.841635
1025.390625	-32.698924
1035.156250	-32.751991
1044.921875	-32.884720
1054.687500	-32.388166
1064.453125	-33.767836
1074.218750	-32.468472
1083.984375	-32.585210
1093.750000	-32.533653
1103.515625	-34.141348
1113.281250	-32.748524
1123.046875	-32.343845
1132.812500	-32.860396
1142.578125	-33.484861
1152.343750	-33.152567
1162.109375	-33.880575
1171.875000	-32.526658
1181.640625	-32.274696
1191.406250	-32.097496
1201.171875	-33.364504
1210.937500	-33.689487
1220.703125	-33.236724
1230.468750	-33.964375
1240.234375	-35.408405
1250.000000	-33.524204
1259.765625	-32.662023
1269.531250	-32.329564
1279.296875	-33.144607
1289.062500	-32.994204
1298.828125	-33.074174
1308.593750	-34.181545
1318.359375	-35.448142
1328.125000	-34.023126
1337.890625	-33.547262
1347.656250	-33.983923
1357.421875	-32.604664
1367.187500	-33.710530
1376.953125	-33.750618
1386.718750	-33.813602
1396.484375	-33.553462
1406.250000	-34.024755
1416.015625	-34.886876
1425.781250	-34.423159
1435.546875	-35.929703
1445.312500	-34.547855
1455.078125	-34.523891
1464.843750	-34.674196
1474.609375	-34.440184
1484.375000	-34.304793
1494.140625	-34.198308
1503.906250	-34.847539
1513.671875	-33.748956
1523.437500	-36.240071
1533.203125	-35.650130
1542.968750	-34.451259
1552.734375	-35.055497
1562.500000	-34.494256
1572.265625	-34.999381
1582.031250	-34.852265
1591.796875	-34.740696
1601.562500	-34.440432
1611.328125	-33.779967
1621.093750	-34.400333
1630.859375	-34.949861
1640.625000	-35.036970
1650.390625	-34.568854
1660.156250	-35.620314
1669.921875	-35.039212
1679.687500	-35.438053
1689.453125	-34.475518
1699.218750	-35.140209
1708.984375	-35.482373
1718.750000	-35.835322
1728.515625	-34.925487
1738.281250	-34.884712
1748.046875	-36.710185
1757.812500	-35.360247
1767.578125	-36.216495
1777.343750	-35.094607
1787.109375	-35.901630
1796.875000	-35.621583
1806.640625	-35.707307
1816.406250	-35.527684
1826.171875	-35.403757
1835.937500	-35.959630
1845.703125	-34.913234
1855.468750	-36.194889
1865.234375	-35.026112
1875.000000	-35.832529
1884.765625	-36.157736
1894.531250	-35.902867
1904.296875	-35.176447
1914.062500	-35.472210
1923.828125	-35.675052
1933.593750	-35.747763
1943.359375	-35.756417
1953.125000	-37.679262
1962.890625	-36.237636
1972.656250	-36.577703
1982.421875	-37.405330
1992.187500	-35.880082
2001.953125	-36.028804
