F	D
68.359375	-25.796689
78.125000	-26.056312
87.890625	-26.353888
97.656250	-26.460177
107.421875	-26.583386
117.187500	-26.674953
126.953125	-26.777717
136.718750	-26.915882
146.484375	-27.416706
156.250000	-27.211493
166.015625	-27.645386
175.781250	-27.404344
185.546875	-27.294616
195.312500	-27.858844
205.078125	-27.584743
214.843750	-27.424369
224.609375	-28.749006
234.375000	-27.756920
244.140625	-27.610307
253.906250	-29.318581
263.671875	-27.108491
273.437500	-27.285868
283.203125	-27.544249
292.968750	-27.018487
302.734375	-28.337699
312.500000	-26.752156
322.265625	-26.587522
332.031250	-27.250419
341.796875	-27.718276
351.562500	-28.306200
361.328125	-27.874527
371.093750	-28.005788
380.859375	-29.272943
390.625000	-28.875466
400.390625	-28.098865
410.156250	-28.827206
419.921875	-28.965273
429.687500	-28.639030
439.453125	-29.026547
449.218750	-27.752008
458.984375	-27.446946
468.750000	-28.332559
478.515625	-27.544073
488.281250	-27.589950
498.046875	-28.678338
507.812500	-27.645296
517.578125	-28.778234
527.343750	-26.894012
537.109375	-25.994249
546.875000	-25.326290
556.640625	-26.198003
566.406250	-26.267830
576.171875	-26.698706
585.937500	-27.498147
595.703125	-27.168566
605.468750	-27.294772
615.234375	-28.099405
625.000000	-29.239808
634.765625	-28.913468
644.531250	-29.892130
654.296875	-30.256471
664.062500	-29.561610
673.828125	-29.083982
683.593750	-29.806635
693.359375	-28.329908
703.125000	-28.469177
712.890625	-28.549901
722.656250	-27.598908
732.421875	-27.996624
742.187500	-26.548791
751.953125	-26.759740
761.718750	-28.910588
771.484375	-28.643465
781.250000	-30.429085
791.015625	-28.900594
800.781250	-28.291894
810.546875	-27.662033
820.312500	-27.452621
830.078125	-26.491752
839.843750	-26.112711
849.609375	-27.103893
859.375000	-27.474794
869.140625	-28.108696
878.906250	-28.004015
888.671875	-28.554699
898.437500	-28.779029
908.203125	-28.885464
917.968750	-29.916002
927.734375	-29.561266
937.500000	-29.495031
947.265625	-29.734787
957.031250	-29.688535
966.796875	-30.115657
976.562500	-29.579648
986.328125	-30.751259
996.093750	-30.274118
1005.859375	-30.844276
1015.625000	-30.991187
1025.390625	-30.262334
1035.156250	-30.604038
1044.921875	-31.028584
1054.687500	-31.102399
1064.453125	-31.074845
1074.218750	-31.607035
1083.984375	-31.279293
1093.750000	-31.306992
1103.515625	-31.022402
1113.281250	-31.896238
1123.046875	-31.844713
1132.812500	-31.894771
1142.578125	-31.302596
1152.343750	-32.130196
1162.109375	-31.284490
1171.875000	-32.272773
1181.640625	-31.084994
1191.406250	-31.380235
1201.171875	-32.165466
1210.937500	-31.289792
1220.703125	-31.949566
1230.468750	-32.323880
1240.234375	-31.848843
1250.000000	-31.736792
1259.765625	-32.464839
1269.531250	-32.898777
1279.296875	-33.002004
1289.062500	-31.757493
1298.828125	-32.694977
1308.593750	-32.220957
1318.359375	-33.209532
1328.125000	-32.271236
1337.890625	-32.341446
1347.656250	-32.605515
1357.421875	-32.098918
1367.187500	-33.538953
1376.953125	-32.286958
1386.718750	-32.497544
1396.484375	-32.795151
1406.250000	-35.529292
1416.015625	-32.133188
1425.781250	-32.748928
1435.546875	-32.970073
1445.312500	-33.140703
1455.078125	-32.665989
1464.843750	-33.023479
1474.609375	-32.560193
1484.375000	-33.445973
1494.140625	-34.008516
1503.906250	-32.775659
1513.671875	-32.754844
1523.437500	-33.580271
1533.203125	-33.211664
1542.968750	-33.257281
1552.734375	-32.633371
1562.500000	-33.670750
1572.265625	-33.561885
1582.031250	-33.296555
1591.796875	-33.189071
1601.562500	-33.050545
1611.328125	-33.169574
1621.093750	-32.666850
1630.859375	-33.662399
1640.625000	-32.598111
1650.390625	-32.974105
1660.156250	-32.893130
1669.921875	-32.297259
1679.687500	-33.021653
1689.453125	-32.338644
1699.218750	-32.378531
1708.984375	-32.758769
1718.750000	-32.161790
1728.515625	-32.016464
1738.281250	-31.724325
1748.046875	-31.652679
1757.812500	-31.087015
1767.578125	-30.535451
1777.343750	-30.980107
1787.109375	-31.368570
1796.875000	-31.860488
1806.640625	-32.010015
1816.406250	-31.985114
1826.171875	-33.019275
1835.937500	-32.786777
1845.703125	-32.565518
1855.468750	-33.775871
1865.234375	-33.101837
1875.000000	-33.474424
1884.765625	-34.912023
1894.531250	-33.640957
1904.296875	-36.036095
1914.062500	-33.521464
1923.828125	-33.857938
1933.593750	-34.578513
1943.359375	-34.033749
1953.125000	-33.861388
1962.890625	-34.125524
1972.656250	-34.927513
1982.421875	-34.080431
1992.187500	-33.979413
2001.953125	-34.314807
