F	D
68.359375	-25.066633
78.125000	-25.641875
87.890625	-26.517629
97.656250	-26.139254
107.421875	-25.806383
117.187500	-26.304020
126.953125	-27.021523
136.718750	-27.239960
146.484375	-26.719157
156.250000	-26.621119
166.015625	-26.815997
175.781250	-28.533582
185.546875	-26.847032
195.312500	-27.062519
205.078125	-27.293507
214.843750	-28.319072
224.609375	-27.299088
234.375000	-27.178492
244.140625	-27.746354
253.906250	-28.029300
263.671875	-27.533067
273.437500	-28.167190
283.203125	-26.957150
292.968750	-27.587369
302.734375	-28.523907
312.500000	-28.326072
322.265625	-27.097277
332.031250	-27.420918
341.796875	-27.953907
351.562500	-29.453860
361.328125	-28.828984
371.093750	-27.503204
380.859375	-27.236797
390.625000	-27.987721
400.390625	-27.472999
410.156250	-28.097783
419.921875	-27.216359
429.687500	-28.052838
439.453125	-27.501357
449.218750	-28.649681
458.984375	-27.416099
468.750000	-27.284539
478.515625	-27.860260
488.281250	-27.650586
498.046875	-26.613944
507.812500	-26.571922
517.578125	-26.868898
527.343750	-26.732815
537.109375	-25.807712
546.875000	-26.472069
556.640625	-26.161541
566.406250	-25.469102
576.171875	-25.419328
585.937500	-25.420709
595.703125	-24.925265
605.468750	-24.487817
615.234375	-24.812995
625.000000	-25.696976
634.765625	-26.725385
644.531250	-27.816759
654.296875	-27.339297
664.062500	-29.131380
673.828125	-27.750593
683.593750	-27.083860
693.359375	-27.545995
703.125000	-27.902442
712.890625	-28.446826
722.656250	-28.064144
732.421875	-29.232166
742.187500	-28.549587
751.953125	-28.066891
761.718750	-30.400385
771.484375	-28.565635
781.250000	-29.724131
791.015625	-28.711194
800.781250	-27.668753
810.546875	-27.472208
820.312500	-27.282236
830.078125	-27.996811
839.843750	-28.257706
849.609375	-29.405209
859.375000	-27.796557
869.140625	-27.774700
878.906250	-28.119855
888.671875	-27.380204
898.437500	-26.825126
908.203125	-26.761824
917.968750	-27.120589
927.734375	-28.089386
937.500000	-27.632716
947.265625	-27.580638
957.031250	-26.872082
966.796875	-26.991108
976.562500	-26.971417
986.328125	-26.117260
996.093750	-25.788705
1005.859375	-25.851410
1015.625000	-25.872046
1025.390625	-25.542959
1035.156250	-25.365293
1044.921875	-25.565339
1054.687500	-25.839885
1064.453125	-26.292543
1074.218750	-26.545682
1083.984375	-26.881883
1093.750000	-27.078632
1103.515625	-27.328698
1113.281250	-27.552945
1123.046875	-27.205757
1132.812500	-27.439518
1142.578125	-27.819225
1152.343750	-27.884506
1162.109375	-27.993792
1171.875000	-28.174735
1181.640625	-28.611794
1191.406250	-29.796529
1201.171875	-29.652229
1210.937500	-28.831781
1220.703125	-28.492685
1230.468750	-28.500739
1240.234375	-28.792957
1250.000000	-28.950068
1259.765625	-29.238077
1269.531250	-29.585503
1279.296875	-30.809031
1289.062500	-30.220652
1298.828125	-29.538451
1308.593750	-29.975405
1318.359375	-30.025642
1328.125000	-29.943409
1337.890625	-28.632363
1347.656250	-28.972452
1357.421875	-29.394895
1367.187500	-30.355586
1376.953125	-30.048041
1386.718750	-30.851179
1396.484375	-31.170330
1406.250000	-30.218358
1416.015625	-29.869065
1425.781250	-30.043393
1435.546875	-30.381574
1445.312500	-30.680747
1455.078125	-31.360253
1464.843750	-31.579397
1474.609375	-30.490970
1484.375000	-30.566124
1494.140625	-29.921392
1503.906250	-30.015972
1513.671875	-30.364065
1523.437500	-30.208460
1533.203125	-29.832721
1542.968750	-29.713824
1552.734375	-29.497394
1562.500000	-29.664425
1572.265625	-29.911136
1582.031250	-29.383455
1591.796875	-29.102262
1601.562500	-28.381317
1611.328125	-28.137584
1621.093750	-28.828848
1630.859375	-30.136518
1640.625000	-30.886415
1650.390625	-30.129394
1660.156250	-30.149153
1669.921875	-30.705729
1679.687500	-31.164306
1689.453125	-31.025535
1699.218750	-31.238889
1708.984375	-31.105268
1718.750000	-30.917341
1728.515625	-31.258764
1738.281250	-30.973953
1748.046875	-30.853797
1757.812500	-30.714409
1767.578125	-31.281529
1777.343750	-30.286770
1787.109375	-30.832191
1796.875000	-31.101743
1806.640625	-30.670215
1816.406250	-30.631598
1826.171875	-31.008509
1835.937500	-31.364060
1845.703125	-30.973076
1855.468750	-31.268802
1865.234375	-32.873298
1875.000000	-32.602325
1884.765625	-31.620242
1894.531250	-31.878903
1904.296875	-33.124860
1914.062500	-32.115535
1923.828125	-32.358046
1933.593750	-32.847107
1943.359375	-32.601134
1953.125000	-32.104600
1962.890625	-31.639734
1972.656250	-32.112041
1982.421875	-31.978559
1992.187500	-31.889412
2001.953125	-33.497122
