F	D
68.359375	-26.103761
78.125000	-26.570575
87.890625	-26.689138
97.656250	-27.132213
107.421875	-26.362621
117.187500	-25.617393
126.953125	-25.992904
136.718750	-26.066869
146.484375	-27.389485
156.250000	-26.396565
166.015625	-27.113885
175.781250	-26.633436
185.546875	-25.988728
195.312500	-26.357445
205.078125	-26.153724
214.843750	-26.985171
224.609375	-27.379275
234.375000	-27.210677
244.140625	-26.564108
253.906250	-26.225921
263.671875	-26.081058
273.437500	-27.428976
283.203125	-28.343543
292.968750	-28.039531
302.734375	-26.662047
312.500000	-27.406398
322.265625	-27.141449
332.031250	-27.103298
341.796875	-26.676709
351.562500	-27.912457
361.328125	-27.625197
371.093750	-27.388018
380.859375	-26.225209
390.625000	-26.767434
400.390625	-27.965490
410.156250	-26.254313
419.921875	-26.545828
429.687500	-27.153171
439.453125	-26.929737
449.218750	-27.853634
458.984375	-27.331018
468.750000	-26.328267
478.515625	-27.447153
488.281250	-25.765310
498.046875	-25.978338
507.812500	-27.226307
517.578125	-26.180096
527.343750	-25.414546
537.109375	-25.926631
546.875000	-24.993841
556.640625	-26.193921
566.406250	-25.639114
576.171875	-25.656046
585.937500	-24.450166
595.703125	-24.150466
605.468750	-24.642599
615.234375	-24.983565
625.000000	-24.695055
634.765625	-25.063197
644.531250	-26.030884
654.296875	-25.205439
664.062500	-25.527088
673.828125	-26.768882
683.593750	-26.631898
693.359375	-26.237884
703.125000	-27.295214
712.890625	-27.831488
722.656250	-26.935943
732.421875	-27.424740
742.187500	-30.252299
751.953125	-27.650272
761.718750	-26.889081
771.484375	-26.305713
781.250000	-26.354696
791.015625	-26.817879
800.781250	-27.726123
810.546875	-28.022824
820.312500	-27.521687
830.078125	-26.929220
839.843750	-26.838573
849.609375	-26.171633
859.375000	-26.114379
869.140625	-26.887113
878.906250	-27.586585
888.671875	-26.617073
898.437500	-26.109645
908.203125	-26.234057
917.968750	-26.055418
927.734375	-25.877866
937.500000	-25.865600
947.265625	-25.738535
957.031250	-25.685998
966.796875	-25.631615
976.562500	-27.336267
986.328125	-26.173397
996.093750	-26.107044
1005.859375	-26.762583
1015.625000	-26.054673
1025.390625	-26.058429
1035.156250	-26.932132
1044.921875	-27.176118
1054.687500	-27.359212
1064.453125	-27.280209
1074.218750	-26.919956
1083.984375	-27.085173
1093.750000	-27.232780
1103.515625	-27.328045
1113.281250	-27.526060
1123.046875	-27.098864
1132.812500	-27.309604
1142.578125	-26.834255
1152.343750	-28.036242
1162.109375	-27.599415
1171.875000	-26.053093
1181.640625	-26.217506
1191.406250	-27.209516
1201.171875	-28.112589
1210.937500	-27.630730
1220.703125	-28.228990
1230.468750	-29.115647
1240.234375	-27.928624
1250.000000	-27.738093
1259.765625	-30.193142
1269.531250	-29.504419
1279.296875	-29.260209
1289.062500	-29.322331
1298.828125	-29.409177
1308.593750	-30.261307
1318.359375	-30.950159
1328.125000	-29.889525
1337.890625	-29.775523
1347.656250	-28.671543
1357.421875	-28.845340
1367.187500	-30.404991
1376.953125	-29.320978
1386.718750	-29.932559
1396.484375	-29.442017
1406.250000	-30.444333
1416.015625	-30.095299
1425.781250	-33.181159
1435.546875	-30.609088
1445.312500	-29.550490
1455.078125	-30.658411
1464.843750	-30.093126
1474.609375	-30.236070
1484.375000	-32.051321
1494.140625	-30.645935
1503.906250	-29.618987
1513.671875	-29.502743
1523.437500	-30.567817
1533.203125	-30.184990
1542.968750	-30.542517
1552.734375	-30.472832
1562.500000	-30.092122
1572.265625	-31.686243
1582.031250	-29.877546
1591.796875	-29.617877
1601.562500	-29.456690
1611.328125	-31.165916
1621.093750	-29.829236
1630.859375	-30.250464
1640.625000	-30.224903
1650.390625	-31.070054
1660.156250	-31.836306
1669.921875	-30.787381
1679.687500	-31.818861
1689.453125	-30.751292
1699.218750	-32.116020
1708.984375	-30.918829
1718.750000	-31.155352
1728.515625	-32.459326
1738.281250	-31.432123
1748.046875	-31.530401
1757.812500	-30.975543
1767.578125	-32.558836
1777.343750	-32.116444
1787.109375	-31.380045
1796.875000	-31.477098
1806.640625	-31.992580
1816.406250	-31.511953
1826.171875	-31.836416
1835.937500	-31.791248
1845.703125	-31.556239
1855.468750	-31.472732
1865.234375	-32.033488
1875.000000	-31.991076
1884.765625	-31.802751
1894.531250	-31.887126
1904.296875	-31.644607
1914.062500	-32.174945
1923.828125	-31.956269
1933.593750	-31.875779
1943.359375	-32.013594
1953.125000	-31.830120
1962.890625	-32.090312
1972.656250	-32.217025
1982.421875	-32.003343
1992.187500	-31.983883
2001.953125	-31.944944
