NNN,Date,St,R,Mo,Es,FileName
1,20190706,T01,161.017596856154,7038183.30115322,0.272380404844181,20190706_T01_N_01.mat
2,20190706,T01,144.123283550392,4915531.33732737,0.132523314907873,20190706_T01_N_02.mat
3,20190706,T01,184.576982105392,5392778.07386529,0.274719097183047,20190706_T01_N_03.mat
4,20190706,T01,134.436838328786,1973314.91679195,0.030240340574866,20190706_T01_N_04.mat
5,20190706,T01,135.547960499218,1199259.99502022,0.0269536759233559,20190706_T01_N_05.mat
6,20190706,T01,133.636689641647,928959.553997491,0.00879008935620601,20190706_T01_N_06.mat
7,20190706,T01,134.193505966857,679869.862819659,0.00661613995685971,20190706_T01_N_07.mat
8,20190706,T01,109.366647218317,622689.879658474,0.0188937424607499,20190706_T01_N_08.mat
9,20190706,T01,129.636880009729,314013.424775531,0.00449261564014868,20190706_T01_N_09.mat
10,20190706,T01,133.925638601866,621138.84439662,0.0246148022763406,20190706_T01_N_10.mat
11,20190706,T01,230.822053858936,768757.612518654,0.0238069597326863,20190706_T01_N_11.mat
12,20190706,T01,180.359523270769,489287.330591743,0.0118304739743524,20190706_T01_N_12.mat
13,20190706,T01,164.746551075615,686536.836861075,0.0183747296476438,20190706_T01_N_13.mat
14,20190706,T01,100.648558750586,260857.78839181,0.00663422956791,20190706_T01_N_14.mat
15,20190706,T01,135.858141064999,363069.871037949,0.0047980996242325,20190706_T01_N_15.mat
16,20190706,T01,109.450892675369,324420.61534563,0.00455728880031605,20190706_T01_N_16.mat
17,20190706,T01,320.450849793597,1142992.7776044,0.0365069276561639,20190706_T01_N_17.mat
18,20190706,T01,118.131641708157,206789.78071283,0.00387470113726078,20190706_T01_N_18.mat
19,20190706,T01,171.752187941802,442438.886795939,0.0384266289307795,20190706_T01_N_19.mat
20,20190706,T01,129.324687262152,1331620.81722253,0.0242590356281974,20190706_T01_N_20.mat
21,20190706,T01,145.361261860131,2835805.01105476,0.0900893452142441,20190706_T01_N_21.mat
22,20190706,T01,127.432098961389,289192.761140052,0.00446849709190893,20190706_T01_N_22.mat
23,20190706,T01,137.549492740151,242616.863139943,0.00231976872480761,20190706_T01_N_23.mat
24,20190706,T01,135.936029565181,368838.043850204,0.00634727981574507,20190706_T01_N_24.mat
25,20190706,T01,153.492951987668,291095.255549065,0.00969790289701207,20190706_T01_N_25.mat
26,20190706,T01,173.960282344523,480840.65123739,0.00829296880249165,20190706_T01_N_26.mat
27,20190706,T01,110.530823553223,187026.399407652,0.00184638313943241,20190706_T01_N_27.mat
28,20190706,T01,121.277601296845,142267.459956457,0.00162918128874034,20190706_T01_N_28.mat
29,20190706,T01,88.1018119777209,2258161.2006872,0.169327980763353,20190706_T01_N_29.mat
30,20190706,T01,152.779399454316,396496.19198172,0.00885478914263578,20190706_T01_N_30.mat
31,20190706,T01,149.075733854466,524219.003191746,0.00984475305700874,20190706_T01_N_31.mat
32,20190706,T01,481.708451466255,2213791.40638285,0.199434599334224,20190706_T01_N_32.mat
33,20190706,T01,110.496518579059,167454.223968673,0.00200481520125378,20190706_T01_N_33.mat
34,20190706,T01,165.66472051714,513429.024776564,0.00891055873418332,20190706_T01_N_34.mat
35,20190706,T01,106.349215708814,837269.927630006,0.00424057982845515,20190706_T01_N_35.mat
36,20190706,T01,149.499159478176,1352438.66037437,0.0169027839916175,20190706_T01_N_36.mat
37,20190706,T01,156.812927601742,283724.862205341,0.0140514224015146,20190706_T01_N_37.mat
38,20190706,T01,194.249456088338,417393.936495374,0.0156501412321362,20190706_T01_N_38.mat
39,20190706,T01,114.488034868291,1065760.82045868,0.0406589747245201,20190706_T01_N_39.mat
40,20190706,T01,120.368898796244,198841.379626619,0.00275564388559774,20190706_T01_N_40.mat
41,20190706,T01,144.258639549754,416637.568619498,0.0561020040831805,20190706_T01_N_41.mat
42,20190706,T01,136.809449068762,371680.726239326,0.00508773246174261,20190706_T01_N_42.mat
43,20190706,T01,193.649881573878,629792.993555226,0.0145413997791917,20190706_T01_N_43.mat
44,20190706,T01,142.829328491043,511278.086670683,0.0093706040343594,20190706_T01_N_44.mat
45,20190706,T01,168.837272395386,370292.382166374,0.015883957607872,20190706_T01_N_45.mat
46,20190706,T01,194.563281059302,699823.112328271,0.034988305120703,20190706_T01_N_46.mat
47,20190706,T01,190.498649976395,450434.136203724,0.0363152305360214,20190706_T01_N_47.mat
48,20190706,T01,147.797554135934,257637.301111407,0.00775244623805327,20190706_T01_N_48.mat
49,20190706,T01,136.686730723203,251174.963445571,0.00203388481605928,20190706_T01_N_49.mat
50,20190706,T01,256.354323340849,790348.790486141,0.0269564635471747,20190706_T01_N_50.mat
51,20190706,T01,150.674211685027,387528.056119358,0.0153000311150423,20190706_T01_N_51.mat
52,20190706,T01,126.047191962836,206683.051745885,0.00278686649425295,20190706_T01_N_52.mat
53,20190706,T01,279.900428629747,1728652.00009273,0.108726018385709,20190706_T01_N_53.mat
54,20190706,T01,136.296126027858,397805.520284631,0.0162454144481823,20190706_T01_N_54.mat
55,20190706,T01,134.48425077928,338904.161465751,0.0052012488749764,20190706_T01_N_55.mat
