F	D
68.359375	-24.374078
78.125000	-24.683853
87.890625	-24.866691
97.656250	-25.050783
107.421875	-25.175029
117.187500	-25.436062
126.953125	-25.667477
136.718750	-25.564603
146.484375	-25.708408
156.250000	-25.828926
166.015625	-25.706455
175.781250	-26.243632
185.546875	-25.814592
195.312500	-25.675683
205.078125	-26.432294
214.843750	-25.565629
224.609375	-27.918127
234.375000	-25.330254
244.140625	-25.899981
253.906250	-25.225453
263.671875	-25.794241
273.437500	-25.422412
283.203125	-26.091591
292.968750	-26.078677
302.734375	-25.480116
312.500000	-24.374729
322.265625	-24.145248
332.031250	-24.188478
341.796875	-24.489388
351.562500	-24.872108
361.328125	-26.329093
371.093750	-25.958651
380.859375	-28.070736
390.625000	-25.372932
400.390625	-26.120164
410.156250	-27.590523
419.921875	-25.750747
429.687500	-25.864012
439.453125	-26.085095
449.218750	-25.794558
458.984375	-25.603569
468.750000	-26.071546
478.515625	-25.659379
488.281250	-25.011254
498.046875	-25.107507
507.812500	-25.944708
517.578125	-26.333980
527.343750	-24.241489
537.109375	-23.466690
546.875000	-22.781830
556.640625	-23.320511
566.406250	-25.290981
576.171875	-24.711367
585.937500	-28.145502
595.703125	-25.739646
605.468750	-25.976282
615.234375	-25.687908
625.000000	-27.461081
634.765625	-26.446000
644.531250	-26.606426
654.296875	-26.788159
664.062500	-26.551809
673.828125	-27.347806
683.593750	-27.292710
693.359375	-27.782571
703.125000	-28.358311
712.890625	-26.751738
722.656250	-26.662913
732.421875	-26.024021
742.187500	-24.709792
751.953125	-24.713638
761.718750	-25.769070
771.484375	-25.572215
781.250000	-25.960617
791.015625	-26.007993
800.781250	-26.246537
810.546875	-26.789107
820.312500	-27.144735
830.078125	-24.217350
839.843750	-24.035357
849.609375	-25.357869
859.375000	-27.020204
869.140625	-25.729581
878.906250	-25.777001
888.671875	-25.771914
898.437500	-27.121835
908.203125	-27.141782
917.968750	-27.407644
927.734375	-27.292478
937.500000	-28.031146
947.265625	-27.668526
957.031250	-27.539947
966.796875	-26.915522
976.562500	-27.494207
986.328125	-26.799088
996.093750	-26.775342
1005.859375	-27.426689
1015.625000	-27.639512
1025.390625	-26.993111
1035.156250	-27.793935
1044.921875	-28.347243
1054.687500	-28.482023
1064.453125	-28.435184
1074.218750	-29.248391
1083.984375	-28.596752
1093.750000	-28.407820
1103.515625	-29.249211
1113.281250	-29.134137
1123.046875	-28.693951
1132.812500	-28.635953
1142.578125	-28.295809
1152.343750	-29.623355
1162.109375	-28.833321
1171.875000	-29.264213
1181.640625	-29.579528
1191.406250	-28.646314
1201.171875	-29.369016
1210.937500	-29.432052
1220.703125	-29.427775
1230.468750	-29.432231
1240.234375	-29.660592
1250.000000	-29.357252
1259.765625	-29.532337
1269.531250	-29.145672
1279.296875	-30.059330
1289.062500	-29.185478
1298.828125	-30.328101
1308.593750	-29.173999
1318.359375	-31.554721
1328.125000	-29.198669
1337.890625	-30.665951
1347.656250	-29.625139
1357.421875	-29.917690
1367.187500	-29.512250
1376.953125	-30.029134
1386.718750	-29.729704
1396.484375	-30.030969
1406.250000	-29.690090
1416.015625	-30.197017
1425.781250	-29.793360
1435.546875	-30.125983
1445.312500	-29.832254
1455.078125	-30.167881
1464.843750	-29.935429
1474.609375	-30.239069
1484.375000	-29.903388
1494.140625	-30.339503
1503.906250	-30.013361
1513.671875	-30.219097
1523.437500	-30.157584
1533.203125	-30.173499
1542.968750	-30.183513
1552.734375	-30.265886
1562.500000	-30.280742
1572.265625	-30.379179
1582.031250	-30.196140
1591.796875	-30.298049
1601.562500	-30.421192
1611.328125	-30.354457
1621.093750	-30.379914
1630.859375	-30.377680
1640.625000	-30.477089
1650.390625	-30.367731
1660.156250	-30.492652
1669.921875	-30.420343
1679.687500	-30.526639
1689.453125	-30.431246
1699.218750	-30.669177
1708.984375	-30.524067
1718.750000	-30.569338
1728.515625	-30.405137
1738.281250	-31.091771
1748.046875	-29.843546
1757.812500	-30.874352
1767.578125	-29.889404
1777.343750	-30.641188
1787.109375	-31.097575
1796.875000	-30.672301
1806.640625	-30.693045
1816.406250	-30.981790
1826.171875	-30.597775
1835.937500	-31.131019
1845.703125	-30.567161
1855.468750	-31.101683
1865.234375	-30.758695
1875.000000	-30.984170
1884.765625	-30.815550
1894.531250	-30.961382
1904.296875	-30.909518
1914.062500	-31.025423
1923.828125	-30.907948
1933.593750	-31.022863
1943.359375	-30.969311
1953.125000	-31.032909
1962.890625	-31.020596
1972.656250	-31.023654
1982.421875	-31.045909
1992.187500	-31.089616
2001.953125	-31.103206
