F	D
68.359375	-27.298153
78.125000	-26.431014
87.890625	-26.287537
97.656250	-26.800378
107.421875	-27.502903
117.187500	-27.171795
126.953125	-27.867739
136.718750	-26.750231
146.484375	-28.024656
156.250000	-28.156395
166.015625	-27.120830
175.781250	-27.518368
185.546875	-27.284724
195.312500	-26.815675
205.078125	-27.204154
214.843750	-26.793375
224.609375	-26.454544
234.375000	-28.255129
244.140625	-30.376321
253.906250	-27.393857
263.671875	-28.666919
273.437500	-27.644349
283.203125	-27.738888
292.968750	-28.019926
302.734375	-27.776690
312.500000	-26.864617
322.265625	-26.656357
332.031250	-27.815381
341.796875	-28.524027
351.562500	-27.286748
361.328125	-28.791005
371.093750	-28.885620
380.859375	-27.833444
390.625000	-29.506275
400.390625	-27.827271
410.156250	-27.249547
419.921875	-27.404177
429.687500	-28.251956
439.453125	-27.810077
449.218750	-27.096638
458.984375	-27.169882
468.750000	-26.934804
478.515625	-27.951843
488.281250	-28.407545
498.046875	-28.019187
507.812500	-27.570628
517.578125	-26.673485
527.343750	-27.567140
537.109375	-26.633614
546.875000	-25.761871
556.640625	-26.828475
566.406250	-25.208687
576.171875	-25.037475
585.937500	-27.535296
595.703125	-24.974826
605.468750	-24.763403
615.234375	-25.598806
625.000000	-26.140766
634.765625	-27.697188
644.531250	-27.631220
654.296875	-28.577050
664.062500	-28.944363
673.828125	-28.719395
683.593750	-27.494421
693.359375	-29.818675
703.125000	-27.424809
712.890625	-27.556024
722.656250	-28.112722
732.421875	-27.854304
742.187500	-28.935511
751.953125	-27.703956
761.718750	-27.320005
771.484375	-28.122393
781.250000	-27.648308
791.015625	-28.213289
800.781250	-28.117761
810.546875	-27.953980
820.312500	-28.912386
830.078125	-28.910061
839.843750	-27.345278
849.609375	-27.411801
859.375000	-27.371262
869.140625	-27.225815
878.906250	-26.663371
888.671875	-26.960757
898.437500	-28.291262
908.203125	-27.560046
917.968750	-26.751186
927.734375	-26.975260
937.500000	-28.077286
947.265625	-27.008425
957.031250	-26.851724
966.796875	-27.820622
976.562500	-28.757332
986.328125	-25.991716
996.093750	-26.361038
1005.859375	-26.146615
1015.625000	-25.276218
1025.390625	-25.490674
1035.156250	-27.125211
1044.921875	-27.113029
1054.687500	-27.045650
1064.453125	-26.911449
1074.218750	-27.683504
1083.984375	-28.829226
1093.750000	-28.433235
1103.515625	-27.392703
1113.281250	-27.020512
1123.046875	-27.713486
1132.812500	-27.303447
1142.578125	-27.459745
1152.343750	-29.124274
1162.109375	-27.924224
1171.875000	-27.807997
1181.640625	-28.587521
1191.406250	-29.051906
1201.171875	-29.135299
1210.937500	-30.918488
1220.703125	-29.331369
1230.468750	-29.824028
1240.234375	-32.499476
1250.000000	-31.535524
1259.765625	-30.150958
1269.531250	-29.719103
1279.296875	-30.903385
1289.062500	-31.069794
1298.828125	-30.408903
1308.593750	-29.942097
1318.359375	-30.105146
1328.125000	-30.364680
1337.890625	-30.703882
1347.656250	-30.247809
1357.421875	-31.284502
1367.187500	-31.987300
1376.953125	-32.292815
1386.718750	-30.944338
1396.484375	-30.789956
1406.250000	-30.895610
1416.015625	-32.005377
1425.781250	-32.013734
1435.546875	-31.668054
1445.312500	-31.580530
1455.078125	-32.061743
1464.843750	-32.094597
1474.609375	-33.143953
1484.375000	-32.184471
1494.140625	-31.938351
1503.906250	-32.059856
1513.671875	-31.400376
1523.437500	-31.552926
1533.203125	-32.446380
1542.968750	-32.326388
1552.734375	-32.828347
1562.500000	-32.884140
1572.265625	-31.805675
1582.031250	-31.138128
1591.796875	-31.282053
1601.562500	-31.616940
1611.328125	-31.561255
1621.093750	-31.712157
1630.859375	-30.734707
1640.625000	-32.036945
1650.390625	-32.119064
1660.156250	-31.261935
1669.921875	-32.470416
1679.687500	-32.167426
1689.453125	-32.362258
1699.218750	-31.946179
1708.984375	-33.279514
1718.750000	-32.664790
1728.515625	-33.072886
1738.281250	-31.536496
1748.046875	-31.558027
1757.812500	-30.564933
1767.578125	-30.187570
1777.343750	-30.730140
1787.109375	-31.472024
1796.875000	-31.512823
1806.640625	-31.035903
1816.406250	-31.248961
1826.171875	-32.393325
1835.937500	-32.350782
1845.703125	-33.446971
1855.468750	-32.261649
1865.234375	-31.661093
1875.000000	-31.526296
1884.765625	-31.968293
1894.531250	-33.985525
1904.296875	-32.109479
1914.062500	-32.106822
1923.828125	-32.205458
1933.593750	-32.372039
1943.359375	-32.499416
1953.125000	-32.722401
1962.890625	-33.323757
1972.656250	-35.576010
1982.421875	-33.067612
1992.187500	-32.704025
2001.953125	-33.622986
