F	D
68.359375	-26.703021
78.125000	-27.357758
87.890625	-27.669780
97.656250	-27.130945
107.421875	-27.453374
117.187500	-27.861559
126.953125	-27.028379
136.718750	-27.949303
146.484375	-27.884462
156.250000	-28.176333
166.015625	-27.654090
175.781250	-28.429677
185.546875	-28.801415
195.312500	-27.806768
205.078125	-29.554932
214.843750	-27.450624
224.609375	-27.800754
234.375000	-27.206227
244.140625	-27.052241
253.906250	-27.756338
263.671875	-27.647323
273.437500	-27.882631
283.203125	-27.750755
292.968750	-27.509358
302.734375	-27.315497
312.500000	-27.267847
322.265625	-27.197839
332.031250	-27.143635
341.796875	-27.441666
351.562500	-27.343245
361.328125	-27.314416
371.093750	-27.315158
380.859375	-26.756729
390.625000	-26.632925
400.390625	-26.751283
410.156250	-26.809409
419.921875	-27.208024
429.687500	-27.633805
439.453125	-26.886262
449.218750	-27.042028
458.984375	-26.838950
468.750000	-26.523108
478.515625	-26.458361
488.281250	-26.258139
498.046875	-26.250335
507.812500	-26.541633
517.578125	-26.244138
527.343750	-26.079369
537.109375	-26.020364
546.875000	-25.169178
556.640625	-24.867727
566.406250	-25.268555
576.171875	-26.615209
585.937500	-25.370120
595.703125	-25.929719
605.468750	-26.484474
615.234375	-26.899151
625.000000	-26.884121
634.765625	-26.539684
644.531250	-26.999070
654.296875	-27.364408
664.062500	-27.593082
673.828125	-28.452408
683.593750	-27.678732
693.359375	-27.484001
703.125000	-27.731796
712.890625	-27.647405
722.656250	-27.680900
732.421875	-28.279940
742.187500	-28.205394
751.953125	-28.336105
761.718750	-28.396324
771.484375	-28.251598
781.250000	-28.655725
791.015625	-30.095535
800.781250	-29.529520
810.546875	-28.335757
820.312500	-28.434299
830.078125	-27.979525
839.843750	-27.708490
849.609375	-28.056718
859.375000	-28.050999
869.140625	-28.318137
878.906250	-28.030435
888.671875	-27.545286
898.437500	-27.301671
908.203125	-27.173306
917.968750	-27.244255
927.734375	-27.257627
937.500000	-27.475355
947.265625	-27.727497
957.031250	-27.771628
966.796875	-27.646990
976.562500	-27.708586
986.328125	-27.853455
996.093750	-27.779929
1005.859375	-27.635320
1015.625000	-27.707420
1025.390625	-27.863362
1035.156250	-27.604618
1044.921875	-27.388928
1054.687500	-27.446248
1064.453125	-27.731454
1074.218750	-27.739116
1083.984375	-27.794386
1093.750000	-28.310996
1103.515625	-28.349256
1113.281250	-28.209591
1123.046875	-27.893701
1132.812500	-27.140288
1142.578125	-27.034535
1152.343750	-26.992575
1162.109375	-26.521250
1171.875000	-26.604557
1181.640625	-27.661604
1191.406250	-28.609559
1201.171875	-29.018687
1210.937500	-30.094384
1220.703125	-30.120448
1230.468750	-30.718660
1240.234375	-29.810660
1250.000000	-30.035674
1259.765625	-29.395933
1269.531250	-29.552881
1279.296875	-29.519905
1289.062500	-29.915155
1298.828125	-30.981505
1308.593750	-31.237967
1318.359375	-31.609778
1328.125000	-31.282360
1337.890625	-31.636611
1347.656250	-31.185356
1357.421875	-30.882837
1367.187500	-29.957292
1376.953125	-30.726797
1386.718750	-31.737194
1396.484375	-31.526625
1406.250000	-31.710961
1416.015625	-30.853136
1425.781250	-31.019379
1435.546875	-31.176215
1445.312500	-31.617398
1455.078125	-31.491461
1464.843750	-31.828969
1474.609375	-32.112120
1484.375000	-32.679795
1494.140625	-31.819035
1503.906250	-32.556003
1513.671875	-31.504059
1523.437500	-30.898574
1533.203125	-31.022261
1542.968750	-30.984748
1552.734375	-30.681473
1562.500000	-31.214371
1572.265625	-31.723199
1582.031250	-33.004599
1591.796875	-32.629643
1601.562500	-31.119663
1611.328125	-30.583313
1621.093750	-30.271551
1630.859375	-31.066214
1640.625000	-31.529578
1650.390625	-31.830600
1660.156250	-32.718540
1669.921875	-32.554525
1679.687500	-32.019001
1689.453125	-33.097346
1699.218750	-33.447213
1708.984375	-32.185037
1718.750000	-32.572264
1728.515625	-32.883333
1738.281250	-32.046873
1748.046875	-32.465343
1757.812500	-31.471165
1767.578125	-31.756928
1777.343750	-31.990653
1787.109375	-32.631456
1796.875000	-33.894146
1806.640625	-33.232165
1816.406250	-33.060539
1826.171875	-33.546947
1835.937500	-33.001591
1845.703125	-33.990145
1855.468750	-33.594566
1865.234375	-32.816867
1875.000000	-33.672003
1884.765625	-33.613884
1894.531250	-33.406460
1904.296875	-33.279320
1914.062500	-33.645299
1923.828125	-33.074172
1933.593750	-35.061983
1943.359375	-33.258451
1953.125000	-33.462977
1962.890625	-33.570955
1972.656250	-33.568996
1982.421875	-33.733414
1992.187500	-33.749968
2001.953125	-33.095429
