F	D
68.359375	-26.410598
78.125000	-26.466994
87.890625	-26.907565
97.656250	-26.534430
107.421875	-27.663155
117.187500	-27.920531
126.953125	-27.518018
136.718750	-26.816199
146.484375	-27.313413
156.250000	-27.467688
166.015625	-27.412158
175.781250	-28.400941
185.546875	-28.246885
195.312500	-28.304555
205.078125	-29.474467
214.843750	-28.055295
224.609375	-28.394167
234.375000	-28.021190
244.140625	-28.348026
253.906250	-27.197789
263.671875	-28.029932
273.437500	-28.480484
283.203125	-26.965988
292.968750	-26.658652
302.734375	-27.893443
312.500000	-27.926484
322.265625	-27.344829
332.031250	-27.290517
341.796875	-27.121298
351.562500	-27.184265
361.328125	-27.167014
371.093750	-28.321985
380.859375	-28.258737
390.625000	-27.176165
400.390625	-27.131089
410.156250	-27.304120
419.921875	-26.887626
429.687500	-27.059092
439.453125	-27.129815
449.218750	-30.275168
458.984375	-28.818162
468.750000	-28.227852
478.515625	-30.046118
488.281250	-28.437011
498.046875	-29.154186
507.812500	-29.910738
517.578125	-27.882966
527.343750	-28.369939
537.109375	-30.379974
546.875000	-28.867221
556.640625	-28.499640
566.406250	-29.214387
576.171875	-30.385273
585.937500	-29.359958
595.703125	-30.174505
605.468750	-28.849882
615.234375	-28.899081
625.000000	-29.610225
634.765625	-29.070041
644.531250	-29.966463
654.296875	-29.973904
664.062500	-29.477062
673.828125	-28.795757
683.593750	-28.574848
693.359375	-29.342737
703.125000	-29.500977
712.890625	-29.347531
722.656250	-29.139436
732.421875	-29.950662
742.187500	-30.012059
751.953125	-30.519899
761.718750	-31.004827
771.484375	-29.451621
781.250000	-29.332783
791.015625	-29.594953
800.781250	-30.858777
810.546875	-30.665041
820.312500	-30.297801
830.078125	-32.340686
839.843750	-30.902258
849.609375	-31.205338
859.375000	-31.377801
869.140625	-30.389695
878.906250	-30.184771
888.671875	-30.457083
898.437500	-31.137541
908.203125	-32.408896
917.968750	-31.314896
927.734375	-31.832511
937.500000	-31.778927
947.265625	-32.714554
957.031250	-32.133463
966.796875	-32.301858
976.562500	-32.421884
986.328125	-32.445614
996.093750	-32.697186
1005.859375	-31.229330
1015.625000	-31.486710
1025.390625	-32.448903
1035.156250	-31.138336
1044.921875	-30.955889
1054.687500	-31.755869
1064.453125	-32.473793
1074.218750	-32.305779
1083.984375	-32.746671
1093.750000	-32.868177
1103.515625	-32.414324
1113.281250	-32.177079
1123.046875	-31.861630
1132.812500	-31.928935
1142.578125	-31.941127
1152.343750	-31.871482
1162.109375	-32.327124
1171.875000	-33.466474
1181.640625	-32.576144
1191.406250	-32.398315
1201.171875	-32.224956
1210.937500	-32.715551
1220.703125	-33.960879
1230.468750	-33.536507
1240.234375	-33.259158
1250.000000	-33.076032
1259.765625	-34.335577
1269.531250	-33.343144
1279.296875	-33.694978
1289.062500	-33.928860
1298.828125	-34.849154
1308.593750	-32.985528
1318.359375	-33.162768
1328.125000	-33.152325
1337.890625	-33.556887
1347.656250	-33.391889
1357.421875	-32.608089
1367.187500	-33.045048
1376.953125	-32.815646
1386.718750	-32.943057
1396.484375	-33.466670
1406.250000	-33.727509
1416.015625	-33.718966
1425.781250	-33.801953
1435.546875	-34.814980
1445.312500	-33.643342
1455.078125	-33.430131
1464.843750	-33.897533
1474.609375	-34.783225
1484.375000	-33.975591
1494.140625	-33.833283
1503.906250	-33.602417
1513.671875	-33.720923
1523.437500	-34.223707
1533.203125	-34.971706
1542.968750	-35.801805
1552.734375	-34.514518
1562.500000	-34.385201
1572.265625	-34.875630
1582.031250	-36.532358
1591.796875	-36.072830
1601.562500	-35.466747
1611.328125	-35.168374
1621.093750	-35.070046
1630.859375	-35.716723
1640.625000	-35.196859
1650.390625	-35.519878
1660.156250	-37.394109
1669.921875	-37.267721
1679.687500	-35.705603
1689.453125	-35.666142
1699.218750	-35.351480
1708.984375	-35.914043
1718.750000	-36.196098
1728.515625	-36.124555
1738.281250	-36.679156
1748.046875	-36.136767
1757.812500	-36.238459
1767.578125	-38.801770
1777.343750	-36.373835
1787.109375	-36.458402
1796.875000	-36.152451
1806.640625	-35.920303
1816.406250	-36.519096
1826.171875	-36.662627
1835.937500	-36.309515
1845.703125	-36.246760
1855.468750	-36.516430
1865.234375	-36.324469
1875.000000	-36.240046
1884.765625	-36.272588
1894.531250	-36.640311
1904.296875	-36.851356
1914.062500	-36.634778
1923.828125	-36.710670
1933.593750	-36.548165
1943.359375	-36.674861
1953.125000	-36.848585
1962.890625	-36.506732
1972.656250	-36.630678
1982.421875	-36.670088
1992.187500	-36.663704
2001.953125	-36.599060
